gensci,analsci,collsci,pynam,Kingdom,Phylum,Class,Order,Family,Genus,Species,GL_pyscinam,N
WORMS,WORMS,WORMS,ACANTHOCEPHALA,ANIMALIA,ACANTHOCEPHALA,,,,,,Worms,19
ANNELIDA,ANNELIDA,OLIGOCHAETA,ENCHYTRAEIDAE,ANIMALIA,ANNELIDA,CLITELLATA,ENCHYTRAEIDA,ENCHYTRAEIDAE,,,Worms,9
ANNELIDA,ANNELIDA,OLIGOCHAETA,OLIGOCHAETA,ANIMALIA,ANNELIDA,CLITELLATA,OLIGOCHAETA,,,,Worms,3
ANNELIDA,ANNELIDA,POLYCHAETA,AMPHINOMIDAE,ANIMALIA,ANNELIDA,POLYCHAETA,AMPHINOMIDA,AMPHINOMIDAE,,,Polychaeta,45
ANNELIDA,ANNELIDA,POLYCHAETA,EUPHROSINIDAE,ANIMALIA,ANNELIDA,POLYCHAETA,AMPHINOMIDA,EUPHROSINIDAE,,,Polychaeta,3
ANNELIDA,ANNELIDA,POLYCHAETA,ARCHIANNELIDA,ANIMALIA,ANNELIDA,POLYCHAETA,ARCHIANNELIDA,,,,Polychaeta,2
WORMS,WORMS,WORMS,ECHIURA,ANIMALIA,ANNELIDA,POLYCHAETA,ECHIURA,,,,Worms,2
WORMS,WORMS,WORMS,ECHIURIDAE,ANIMALIA,ANNELIDA,POLYCHAETA,ECHIUROIDEA,ECHIURIDAE,,,Worms,1
ANNELIDA,ANNELIDA,POLYCHAETA,ARABELLIDAE,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,ARABELLIDAE,,,Polychaeta,5
ANNELIDA,ANNELIDA,POLYCHAETA,EUNICE PENNATA,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,EUNICIDAE,EUNICE,PENNATA,Polychaeta,24
ANNELIDA,ANNELIDA,POLYCHAETA,EUNICE SP,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,EUNICIDAE,EUNICE,,Polychaeta,7
ANNELIDA,ANNELIDA,POLYCHAETA,MARPHYSA BELLI,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,EUNICIDAE,MARPHYSA,BELLI,Polychaeta,4
ANNELIDA,ANNELIDA,POLYCHAETA,MARPHYSA SP,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,EUNICIDAE,MARPHYSA,,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,EUNICIDAE,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,EUNICIDAE,,,Polychaeta,24
ANNELIDA,ANNELIDA,POLYCHAETA,LUMBRINERIS FRAGILIS,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,LUMBRINERIS,FRAGILIS,Polychaeta,91
ANNELIDA,ANNELIDA,POLYCHAETA,LUMBRINERIS LATREILLI,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,LUMBRINERIS,LATREILLI,Polychaeta,1
ANNELIDA,ANNELIDA,POLYCHAETA,LUMBRINERIS TENUIS,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,LUMBRINERIS,TENUIS,Polychaeta,11
ANNELIDA,ANNELIDA,POLYCHAETA,LUMBRINERIS SP,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,LUMBRINERIS,,Polychaeta,39
ANNELIDA,ANNELIDA,POLYCHAETA,NINOE NIGRIPES,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,NINOE,NIGRIPES,Polychaeta,34
ANNELIDA,ANNELIDA,POLYCHAETA,PARANINOE BREVIPES,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,PARANINOE,BREVIPES,Polychaeta,2
ANNELIDA,ANNELIDA,POLYCHAETA,LUMBRINERIDAE,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,LUMBRINERIDAE,,,Polychaeta,397
ANNELIDA,ANNELIDA,POLYCHAETA,ARABELLA IRICOLOR,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,OENONIDAE,ARABELLA,IRICOLOR,Polychaeta,2
ANNELIDA,ANNELIDA,POLYCHAETA,DRILONEREIS LONGA,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,OENONIDAE,DRILONEREIS,LONGA,Polychaeta,2
ANNELIDA,ANNELIDA,POLYCHAETA,DRILONEREIS MAGNA,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,OENONIDAE,DRILONEREIS,MAGNA,Polychaeta,3
ANNELIDA,ANNELIDA,POLYCHAETA,DRILONEREIS SP,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,OENONIDAE,DRILONEREIS,,Polychaeta,3
ANNELIDA,ANNELIDA,POLYCHAETA,DIOPATRA CUPREA,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,ONUPHIDAE,DIOPATRA,CUPREA,Polychaeta,3
ANNELIDA,ANNELIDA,POLYCHAETA,NOTHRIA CONCHYLEGA,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,ONUPHIDAE,NOTHRIA,CONCHYLEGA,Polychaeta,15
ANNELIDA,ANNELIDA,POLYCHAETA,ONUPHIS EREMITA,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,ONUPHIDAE,ONUPHIS,EREMITA,Polychaeta,9
ANNELIDA,ANNELIDA,POLYCHAETA,ONUPHIS OPALINA,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,ONUPHIDAE,ONUPHIS,OPALINA,Polychaeta,7
ANNELIDA,ANNELIDA,POLYCHAETA,ONUPHIDAE,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,ONUPHIDAE,,,Polychaeta,104
