gensci,analsci,collsci,pynam,GL_pyscinam,N
FISH,AMMODYTIDAE,AMMODYTES DUBIUS,AMMODYTES DUBIUS,Ammodytes spp.,3
ARTHROPODA,AMPHIPODA,CAPRELLIDAE,AEGINELLA SPINOSA,Amphipoda,12
ARTHROPODA,AMPHIPODA,CAPRELLIDAE,AEGININA LONGICORNIS,Amphipoda,144
ARTHROPODA,AMPHIPODA,CAPRELLIDAE,CAPRELLA SP,Amphipoda,6
CNIDARIA,CNIDARIA,ANTHOZOA,ACTINIARIA,Anthozoa,710
CNIDARIA,CNIDARIA,ANTHOZOA,ANEMONIA SARGASSENSIS,Anthozoa,7
CNIDARIA,CNIDARIA,ANTHOZOA,BOLOCERA TUEDIAE,Anthozoa,1
CNIDARIA,CNIDARIA,ANTHOZOA,CERIANTHEOPSIS AMERICANA,Anthozoa,8
CNIDARIA,CNIDARIA,ANTHOZOA,CERIANTHUS BOREALIS,Anthozoa,7
CNIDARIA,CNIDARIA,ANTHOZOA,EDWARDSIA ELEGANS,Anthozoa,1
CNIDARIA,CNIDARIA,ANTHOZOA,METRIDIUM SENILE,Anthozoa,7
CNIDARIA,CNIDARIA,ANTHOZOA,PENNATULA ACULEATA,Anthozoa,5
MOLLUSCA,BIVALVIA,ARCTICA ISLANDICA,ARCTICA ISLANDICA,Bivalvia,62
MOLLUSCA,BIVALVIA,BIVALVIA,ANADARA TRANSVERSA,Bivalvia,1
MOLLUSCA,BIVALVIA,BIVALVIA,ANOMIA SIMPLEX,Bivalvia,1
MOLLUSCA,BIVALVIA,BIVALVIA,ASTARTE CASTANEA,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,ASTARTE UNDATA,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,BATHYARCA PECTUNCULOIDES,Bivalvia,8
MOLLUSCA,BIVALVIA,BIVALVIA,CARDIIDAE,Bivalvia,10
MOLLUSCA,BIVALVIA,BIVALVIA,CERASTODERMA PINNULATUM,Bivalvia,40
MOLLUSCA,BIVALVIA,BIVALVIA,CLINOCARDIUM CILIATUM,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,CRENELLA SP,Bivalvia,1
MOLLUSCA,BIVALVIA,BIVALVIA,CYCLOCARDIA BOREALIS,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,DACRYDIUM VITREUM,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,ENSIS DIRECTUS,Bivalvia,4
MOLLUSCA,BIVALVIA,BIVALVIA,GEUKENSIA SP,Bivalvia,1
MOLLUSCA,BIVALVIA,BIVALVIA,LIMATULA SUBAURICULATA,Bivalvia,5
MOLLUSCA,BIVALVIA,BIVALVIA,LIMIDAE,Bivalvia,4
MOLLUSCA,BIVALVIA,BIVALVIA,LIMOPSIS SP,Bivalvia,6
MOLLUSCA,BIVALVIA,BIVALVIA,MACTRIDAE,Bivalvia,15
MOLLUSCA,BIVALVIA,BIVALVIA,MERCENARIA SP,Bivalvia,4
MOLLUSCA,BIVALVIA,BIVALVIA,MODIOLUS MODIOLUS,Bivalvia,1
MOLLUSCA,BIVALVIA,BIVALVIA,MUSCULUS NIGER,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,MYA ARENARIA,Bivalvia,4
MOLLUSCA,BIVALVIA,BIVALVIA,MYTILUS EDULIS,Bivalvia,7
MOLLUSCA,BIVALVIA,BIVALVIA,NUCULA PROXIMA,Bivalvia,9
MOLLUSCA,BIVALVIA,BIVALVIA,NUCULA TENUIS,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,NUCULANA TENUISULCATA,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,SILIQUA COSTATA,Bivalvia,19
MOLLUSCA,BIVALVIA,BIVALVIA,SOLEMYA VELUM,Bivalvia,7
MOLLUSCA,BIVALVIA,BIVALVIA,SOLENIDAE,Bivalvia,881
MOLLUSCA,BIVALVIA,BIVALVIA,SPISULA SOLIDISSIMA,Bivalvia,83
MOLLUSCA,BIVALVIA,BIVALVIA,TELLINA SP,Bivalvia,4
MOLLUSCA,BIVALVIA,BIVALVIA,THYASIRA SP,Bivalvia,1
MOLLUSCA,BIVALVIA,BIVALVIA,YOLDIA LIMATULA,Bivalvia,1
MOLLUSCA,BIVALVIA,BIVALVIA,YOLDIA THRACIAEFORMIS,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,YOLDIELLA IRIS,Bivalvia,2
MOLLUSCA,BIVALVIA,BIVALVIA,YOLDIELLA LUCIDA,Bivalvia,3
MOLLUSCA,BIVALVIA,PECTINIDAE,AEQUIPECTEN GLYPTUS,Bivalvia,1
MOLLUSCA,BIVALVIA,PECTINIDAE,ARGOPECTEN IRRADIANS,Bivalvia,3
MOLLUSCA,BIVALVIA,PECTINIDAE,CHLAMYS ISLANDICA,Bivalvia,2
MOLLUSCA,BIVALVIA,PECTINIDAE,PECTINIDAE,Bivalvia,521
