"LOGGED_SPECIES_NAME","SVSPP"
"Spiny dogfish","015"
"Winter skate","023"
"Little skate","026"
"Round herring","031"
"Alewife","033"
"Silver hake","072"
"Atlantic cod","073"
"Haddock","074"
"Pollock","075"
"White hake","076"
"Red hake","077"
"American plaice","102"
"Fourspot flounder","104"
"Yellowtail flounder","105"
"Winter flounder","106"
"Windowpane","108"
"Shorthorn sculpin","162"
"Longhorn sculpin","163"
"Sea raven","164"
"Alligatorfish","165"
"Ocean pout","193"
"Shrimp uncl","305"
"Atlantic herring","032"
"Atlantic halibut","101"
"Acadian redfish","155"
"Goosefish","197"
"Longfin squid","503"
"Barndoor skate","022"
"Fourbeard rockling","083"
"Witch flounder","107"
"Atlantic mackerel","121"
"Cunner","176"
"Atlantic wolffish","192"
"American lobster","301"
"American shad","035"
"Butterfish","131"
"Sea lamprey","002"
"Skate uncl","020"
"Thorny skate","028"
"Scup","143"
"Lumpfish","168"
"Hookear sculpin uncl","159"
"Cusk","084"
"Atlantic argentine","046"
"Smooth skate","027"
"Blackbelly rosefish","156"
"Careproctus ranula","260"
"Blueback herring","034"
"Weitzmans pearlsides","229"
"Atlantic hagfish","001"
"Marlin-spike","091"
"Northern shortfin squid","502"
"Sea scallop","401"
"Atlantic seasnail","170"
"Moustache sculpin","161"
"Ling uncl","087"
"Longfin hake","079"
"Wrymouth","191"
"Cancer crab uncl","311"
"Fawn cusk-eel","194"
"Northern shrimp","306"
"Offshore hake","069"
"Grenadier uncl","090"
"Longnose batfish","206"
"Gulf stream flounder","109"
"Shortnose greeneye","232"
"Lanternfish uncl","056"
"Snakeblenny","182"
"Northern sand lance","181"
"Margined snake eel","065"
"Summer flounder","103"
"Northern searobin","171"
"Eel uncl","060"
"Atlantic menhaden","036"
"Northern puffer","196"
"Black sea bass","141"
"Weakfish","145"
"Tautog","177"
"Spotted hake","078"
"Rosette skate","025"
"Tilefish","151"
"Armored searobin","173"
"Longspine scorpionfish","154"
"Chain dogfish","014"
"Conger eel","063"
"Rough scad","212"
"Atlantic torpedo","021"
"Orange filefish","832"
"Smooth dogfish","013"
"Bluefish","135"
"Striped searobin","172"
"Mackerel scad","208"
"Righteye flounder uncl","773"
"Lefteye flounder uncl","795"
"Paralepis coregonoides","245"
"Flounder uncl","100"
"Polyipnus clarus","251"
"Octopus uncl","510"
"Atlantic saury","205"
"Daubed shanny","183"
"Rainbow smelt","045"
"Wolf eelpout","190"
"Hake uncl","080"
"Viperfish","240"
"Radiated shanny","184"
"Atlantic soft pout","262"
"Grubby","166"
"Silverstripe halfbeak","066"
"Bigeye scad","209"
"Silver hatchetfish","250"
"Arctic eelpout","189"
"Buckler dory","112"
"Tonguefish uncl","221"
"Striped anchovy","044"
"Capelin","038"
"Inquiline snailfish","167"
"Atlantic spiny lumpsucker","169"
"White barracudina","246"
"Glacier lanternfish","051"
"Horned lanternfish","054"
"Spotted lanternfish","055"
"Threespine stickleback","115"
"Planehead filefish","201"
"Greeneye uncl","047"
"Rock gunnel","180"
"Deepwater flounder","110"
"Cardinalfish uncl","138"
"Pilotfish","576"
"Chlorophthalmus sp","231"
"Hickory shad","037"
"Stout beardfish","264"
