Taxa.broad,Taxa.med,Taxa,N_combustions,Ash_perc,H2O_perc,Dry_KJg_mean,Dry_KJg_SD,Ash_KJg,Wet_KJg,Shell_perc
Crustacea,Stomatopoda,Squilla empusa,15,28,61,15.3,1.1,21,5.8,NA
Crustacea,Amphipoda,Hyperia galba,8,26,80,18.6,1.2,24.7,3.6,NA
Crustacea,Amphipoda,Ampelisca agassizi,7,47,22,10.5,0.6,18.5,8.8,NA
Crustacea,Amphipoda,Unciola irrorata,4,41,20,13.9,0.7,33,11.1,NA
Crustacea,Amphipoda,Gammarus annulatus,8,67,88,13.7,0.6,18.4,1.7,NA
Crustacea,Amphipoda,Leptocheirus pinguis,4,51,64,5.9,0.3,12,2,NA
Crustacea,Mysidacea,Neomysis americana,4,16.1,2,NA,NA,NA,NA,NA
Crustacea,Euphausidacea,Meganyctiphanes norvegica,15,22,82,19.4,0.7,24.9,3.4,NA
Crustacea,Decapoda,Penaeus aztecus,5,16,51,18.2,0.5,21.6,8.9,NA
Crustacea,Decapoda,Sicyon atypica,5,26,66,14.4,0.2,19.4,4.9,NA
Crustacea,Decapoda,Pasiphaea tarda,5,18,NA,18.7,0.7,22.7,NA,NA
Crustacea,Decapoda,Paleomonetes vulgaris,8,17,75,14.7,0.6,21.9,4.6,NA
Crustacea,Decapoda,Dichelopandalus leptocerus,28,22,70,18.7,0.6,24.5,5.5,NA
Crustacea,Decapoda,Crangon septemspinosa,26,28,79,16.2,0.6,18.4,3.7,NA
Crustacea,Decapoda,Homarus americanus,5,36,68,13.8,1.4,21.6,4.8,NA
Crustacea,Decapoda,Pagurus acadianus,5,28,63,18.5,1.6,22.7,6.9,NA
Crustacea,Decapoda,Pagurus bernhardus,4,34,57,14.1,1.1,21.3,6,NA
Crustacea,Decapoda,Pagurus pollicarpus,5,41,63,18.4,0.2,30.3,6.6,NA
Crustacea,Decapoda,Hyas araneus,10,55,67,8.5,0.4,18,2.8,NA
Crustacea,Decapoda,Libinia emarginata,11,45,63,12.6,0.5,19.9,5.4,NA
Crustacea,Decapoda,Pelia mutica,3,51,66,10.3,0.1,21.1,3.3,NA
Crustacea,Decapoda,Cancer irroratus,15,41,70,12.8,0.9,20.7,3.7,NA
Crustacea,Decapoda,Eurypanopeus depressus,5,50,NA,4.5,1.9,9,NA,NA
Echinodermata,Holothuroidea,Cucumaria frondosa,3,15,76,14.1,0.6,16.6,3.4,NA
Echinodermata,Holothuroidea,Thyone scabra,3,71,61,6,0.2,20.6,2.3,NA
Echinodermata,Holothuroidea,Caudina arenata,5,37,42,14.9,0.1,23.6,8.6,NA
Echinodermata,Echinoidea,Arbacia punctulata,7,90,78,2.8,0.3,28,0.6,NA
Echinodermata,Echinoidea,Strongylocentrotus droebachiensis,10,82,60,5.1,0.6,28,2,NA
Echinodermata,Echinoidea,Echinarachnius parma,26,85,45,3.6,0.6,24,2,NA
Echinodermata,Echinoidea,Moira atropos,4,85,80,3.5,0.2,23.3,0.7,NA
Echinodermata,Stelleroidea,Ctenodiscus crispatus,5,61,68,9.2,0.2,23.6,2.8,NA
Echinodermata,Stelleroidea,Henricia sp.,2,43,65,9.8,1.2,17.2,3.4,NA
Echinodermata,Stelleroidea,Asteria forbesi,3,65,70,7.2,0.3,20.5,2.2,NA
Echinodermata,Stelleroidea,Leptasterias tenera,4,49,71,10.7,0.4,21,3.1,NA
