gensci,genamtw,analsci,anamtw,collsci,colamtw,pynam,pyamtw
ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,ANIMAL EGGS,1069.68
ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,ANIMAL REMAINS,96555.92
ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,ANIMAL TUBES,256.18
ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,ANIMAL REMAINS,97881.9,FECAL REMAINS,0.12
ANNELIDA,32116.01,ANNELIDA,32116.01,APHRODITIDAE,1972.2,APHRODITA HASTATA,737.35
ANNELIDA,32116.01,ANNELIDA,32116.01,APHRODITIDAE,1972.2,APHRODITIDAE,1234.85
ANNELIDA,32116.01,ANNELIDA,32116.01,HIRUDENEA,0.88,HIRUDINEA,0.88
ANNELIDA,32116.01,ANNELIDA,32116.01,OLIGOCHAETA,0.16,OLIGOCHAETA,0.16
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AGLAOPHAMUS SP,0.04
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AMPHARETE ACUTIFRONS,0
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AMPHARETE ARCTICA,1.31
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AMPHARETE SP,0.01
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AMPHARETIDAE,13.83
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AMPHINOMIDAE,0.96
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AMPHITRITE JOHNSTONI,0.45
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,AMPHITRITE SP,0.06
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ANTINOELLA ANGUSTA,0.55
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ARABELLA IRICOLOR,1.31
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ARABELLIDAE,0.19
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ARCHIANNELIDA,0.02
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ARICIDEA SP,0.02
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CAPITELLIDAE,1.57
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CERATOCEPHALE LOVENI,0.06
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CHAETOPTERIDAE,14.41
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CHONE INFUNDIBULIFORMIS,12.98
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CHONE SP,2.2
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CIRRATULIDAE,3.33
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CIRRATULUS SP,0.03
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,CLYMENELLA TORQUATA,8.84
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,DRILONEREIS LONGA,0.2
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,DRILONEREIS MAGNA,0.04
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,DRILONEREIS SP,2.45
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ETEONE LONGA,0.32
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,EUCLYMENE COLLARIS,0.17
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,EULALIA VIRIDIS,0.33
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,EUNICE PENNATA,10.95
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,EUNICE SP,4.72
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,EUNICIDAE,6.17
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,EUPHROSINIDAE,3.16
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,EXOGONE SP,0
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,FLABELLIGERIDAE,13.28
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GLYCERA AMERICANA,0.83
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GLYCERA CAPITATA,0.04
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GLYCERA DIBRANCHIATA,0.66
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GLYCERA SP,0.08
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GLYCERIDAE,27.98
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GLYCINDE SOLITARIA,0.01
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GONIADA MACULATA,0.51
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GONIADA NORVEGICA,2.4
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GONIADA SP,0.01
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GONIADELLA SP,0.04
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,GONIADIDAE,6.16
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,HARMOTHOE EXTENUATA,0.04
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,HARMOTHOE SP,0.04
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,HESIONIDAE,0.21
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,LAETMONICE FILICORNIS,0.5
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,LUMBRINERIDAE,33.44
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,LUMBRINERIS FRAGILIS,3.48
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,LUMBRINERIS SP,1.98
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,LUMBRINERIS TENUIS,0.07
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,MALDANIDAE,54.3
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,MARPHYSA BELLI,0.13
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,MARPHYSA SP,0.02
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,MELINNA CRISTATA,6.46
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,MYRIOCHELE HEERI,0
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,MYXICOLA INFUNDIBULUM,3.88
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEPHTYIDAE,44.07
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEPHTYS BUCERA,3.99
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEPHTYS INCISA,10.46
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEPHTYS PICTA,0.01
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEPHTYS SP,21.34
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEREIDAE,102.76
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEREIS SP,15.49
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NEREIS SUCCINEA,0.8
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NICOMACHE LUMBRICALIS,0.05
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NINOE NIGRIPES,0.46
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NOTHRIA CONCHYLEGA,0.1
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,NOTOMASTUS SP,0.24
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ONUPHIDAE,18
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ONUPHIS EREMITA,1.03
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ONUPHIS OPALINA,10.97
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,OPHELIA DENTICULATA,0.25
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,OPHELIA SP,1.57
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,OPHELIIDAE,5.06
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,OPHELINA ACUMINATA,30.22
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,OPHELINA SP,4.81
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,OPHIOGLYCERA GIGANTEA,6.72
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ORBINIA ORNATA,0.58
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,ORBINIIDAE,0.08
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,OWENIIDAE,0.49
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,PARANINOE BREVIPES,0.4
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,PARAONIDAE,0.05
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,PARAONIS SP,0
ANNELIDA,32116.01,ANNELIDA,32116.01,POLYCHAETA,30142.77,PECTINARIA GOULDI,0.21
