"Species_comnam","Species_scinam","nDiets","COCA2020","NECC"
"Acadian Redfish","Sebastes fasciatus",7185,"Y","Y"
"Alewife","Alosa pseudoharengus",224,"Y","N"
"American Plaice","Hippoglossoides platessoides",10989,"Y","Y"
"Atlantic Cod","Gadus morhua",15933,"Y","Y"
"Atlantic Croaker","Micropogonias undulatus",261,"Y","N"
"Atlantic Herring","Clupea harengus",14975,"Y","Y"
"Atlantic Mackerel","Scomber scombrus",6551,"N","Y"
"Atlantic Sharpnose Shark","Rhizoprionodon terraenovae",1,"N","N"
"Black Sea Bass","Centropristis striata",1846,"Y","Y"
"Bluefish","Pomatomus saltatrix",1117,"Y","Y"
"Butterfish","Peprilus triacanthus",6773,"N","Y"
"Fawn Cusk-Eel","Lepophidium profundorum",1421,"N","N"
"Fourspot Flounder","Paralichthys oblongus",16067,"N","Y"
"Goosefish","Lophius americanus",10750,"N","Y"
"Gulf Stream Flounder","Citharichthys arctifrons",1895,"N","N"
"Haddock","Melanogrammus aeglefinus",14443,"Y","Y"
"Little Skate","Leucoraja erinacea",20327,"Y","Y"
"Longfin Squid","Loligo pealeii",2119,"Y","N"
"Longhorn Sculpin","Myoxocephalus octodecemspinosus",11685,"N","Y"
"Northern Sand Lance","Ammodytes dubius",806,"Y","N"
"Northern Shortfin Squid","Illex illecebrosus",1916,"Y","N"
"Ocean Pout","Macrozoarces americanus",4482,"N","Y"
"Pollock","Pollachius virens",5720,"Y","Y"
"Red Hake","Urophycis chuss",17672,"Y","Y"
"Scup","Stenotomus chrysops",2491,"Y","Y"
"Sea Raven","Hemitripterus americanus",7131,"N","Y"
"Silver Hake","Merluccius bilinearis",48054,"Y","Y"
"Smooth Dogfish","Mustelus canis",2554,"Y","Y"
"Smooth Skate","Malacoraja senta",4668,"Y","Y"
"Spiny Dogfish","Squalus acanthias",49137,"Y","Y"
"Spotted Hake","Urophycis regia",12156,"N","Y"
"Summer Flounder","Paralichthys dentatus",6559,"Y","Y"
"Tautog","Tautoga onitis",2,"Y","N"
"Thorny Skate","Amblyraja radiata",4112,"Y","Y"
"Weakfish","Cynoscion regalis",169,"Y","N"
"White Hake","Urophycis tenuis",14260,"Y","Y"
"Windowpane","Scophthalmus aquosus",7844,"N","Y"
"Winter Flounder","Pseudopleuronectes americanus",7050,"Y","Y"
"Winter Skate","Leucoraja ocellata",12928,"Y","Y"
"Witch Flounder","Glyptocephalus cynoglossus",7753,"Y","Y"
"Yellowtail Flounder","Limanda ferruginea",7514,"Y","Y"
